Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for linux-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 16:36:53 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2017-05-07T20:22:03.756+0800: 19.237: [GC (Allocation Failure) [PSYoungGen: 697844K->318K(696832K)] 720674K->23805K(2095104K), 0.0012721 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:03.953+0800: 19.435: [GC (Allocation Failure) [PSYoungGen: 696099K->402K(697344K)] 719586K->23889K(2095616K), 0.0008736 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-05-07T20:22:04.140+0800: 19.621: [GC (Allocation Failure) [PSYoungGen: 696210K->392K(697856K)] 719697K->23879K(2096128K), 0.0006556 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:04.332+0800: 19.813: [GC (Allocation Failure) [PSYoungGen: 697224K->466K(697856K)] 720711K->24004K(2096128K), 0.0006408 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:04.526+0800: 20.007: [GC (Allocation Failure) [PSYoungGen: 697298K->466K(697856K)] 720836K->24004K(2096128K), 0.0007292 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:04.724+0800: 20.205: [GC (Allocation Failure) [PSYoungGen: 697298K->477K(697856K)] 720836K->24014K(2096128K), 0.0005638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:04.912+0800: 20.393: [GC (Allocation Failure) [PSYoungGen: 697291K->318K(697856K)] 720828K->23905K(2096128K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:05.102+0800: 20.584: [GC (Allocation Failure) [PSYoungGen: 697144K->360K(697856K)] 720732K->23948K(2096128K), 0.0006682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:05.290+0800: 20.772: [GC (Allocation Failure) [PSYoungGen: 697192K->360K(697856K)] 720780K->23948K(2096128K), 0.0006606 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:05.478+0800: 20.959: [GC (Allocation Failure) [PSYoungGen: 697192K->424K(697856K)] 720780K->24012K(2096128K), 0.0007631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:05.658+0800: 21.139: [GC (Allocation Failure) [PSYoungGen: 697229K->307K(697856K)] 720817K->24030K(2096128K), 0.0005389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:05.837+0800: 21.318: [GC (Allocation Failure) [PSYoungGen: 697117K->424K(697856K)] 720840K->24147K(2096128K), 0.0006167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:06.015+0800: 21.496: [GC (Allocation Failure) [PSYoungGen: 697244K->265K(697856K)] 720967K->24232K(2096128K), 0.0005176 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:06.198+0800: 21.679: [GC (Allocation Failure) [PSYoungGen: 697072K->191K(697856K)] 721039K->24258K(2096128K), 0.0005501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:06.380+0800: 21.861: [GC (Allocation Failure) [PSYoungGen: 697023K->307K(697856K)] 721090K->24425K(2096128K), 0.0005338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:06.576+0800: 22.058: [GC (Allocation Failure) [PSYoungGen: 697139K->466K(697856K)] 721257K->24584K(2096128K), 0.0005757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:06.764+0800: 22.246: [GC (Allocation Failure) [PSYoungGen: 697289K->350K(697856K)] 721406K->24467K(2096128K), 0.0006771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:06.955+0800: 22.436: [GC (Allocation Failure) [PSYoungGen: 697182K->350K(697856K)] 721299K->24568K(2096128K), 0.0006881 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:07.143+0800: 22.624: [GC (Allocation Failure) [PSYoungGen: 697182K->360K(697856K)] 721400K->24579K(2096128K), 0.0007637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
